CountryName,CountryCode,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,NA,NA,NA,94.5592498779297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,AFW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.58441019058228,4.58565998077393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83799004554749,NA,NA,5.30226993560791,6.1030101776123,7.04516983032227
Algeria,DZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6215705871582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7286109924316,32.5381088256836,27.8466205596924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.371789932251,11.7532501220703,9.35396957397461,8.54304981231689,8.963210105896,8.90688037872314,6.27954006195068,6.70534992218018,7.30957984924316
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6802997589111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.382080078125,30.6552295684814,29.9949207305908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,ARB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,NA,NA,NA,32.8546714782715,30.7021999359131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89958000183105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.242600440979,NA,6.22076988220215,7.48527002334595,10.4482498168945,NA,NA,NA,NA,6.05966997146606,3.77471995353699,2.42353010177612,2.21872997283936,NA,NA,NA
Aruba,ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.58858013153076,12.583270072937,16.4353504180908,NA,2.78970003128052,NA,NA,NA,NA,NA,2.83592009544373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706939995288849,0.556320011615753,0.605069994926453,0.480289995670319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155279994010925,0.613610029220581,NA
Austria,AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10505998134613,1.18930995464325,NA,1.11373996734619,1.07410001754761,0.864539980888367,0.857179999351501,1.0665500164032,1.25300002098083,1.23617994785309,1.21881997585297,1.39577996730804,1.3191100358963,1.15748000144958,1.11178994178772,1.21458995342255,1.2208399772644,1.85037994384766,1.42589998245239,1.27775001525879,1.26823997497559,1.17755997180939,1.10939002037048,NA
Azerbaijan,AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2089500427246,12.1300296783447,11.4847297668457,12.0893898010254,12.60023021698,13.73464012146,13.482720375061,13.9111795425415,13.6468601226807,10.936900138855,7.19049978256226,0.458579987287521,0.896449983119965,0.298020005226135,17.2233295440674,14.750189781189,13.3687200546265
"Bahamas, The",BHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8365697860718,NA,NA,NA,NA,17.9664096832275,16.4808502197266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,BHR,NA,NA,NA,NA,NA,NA,23.4850692749023,18.583309173584,15.8332099914551,NA,NA,13.1149101257324,8.40740966796875,18.1058692932129,15.2975997924805,12.9540700912476,14.1305198669434,NA,7.41462993621826,NA,NA,NA,NA,10.2280902862549,14.1560001373291,NA,16.5672206878662,14.090069770813,10.9002103805542,8.45722961425781,6.15340995788574,5.36571979522705,5.62765979766846,7.25611019134521,7.43640995025635,4.65592002868652,NA,NA,NA,NA,7.81618022918701,5.11218023300171,NA,NA,2.34621000289917,1.03866994380951,1.41618001461029,2.27414989471436,1.08650004863739,NA,NA,3.06891989707947
Bangladesh,BGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0698509216309,26.8047103881836,NA,NA,25.9757194519043,14.7022037506104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63318729400635,10.7400217056274
Barbados,BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.93054008483887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76342010498047,3.13712000846863,8.41551971435547,5.97799015045166,NA,NA,NA,8.04660987854004,5.59235000610352,7.79433012008667,4.13891983032227,NA,NA,NA,NA,NA,NA,NA,1.60529005527496,5.79092979431152,NA,NA
Belarus,BLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146799996495247,1.7325199842453,2.215980052948,5.1009202003479,5.48997020721436,6.47188997268677,6.88889980316162,7.33673000335693,7.50754976272583,7.21044015884399,7.18621015548706,6.33568000793457,7.68410015106201
Belgium,BEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686190009117126,NA,NA,0.723349988460541,NA,NA,1.47730004787445,0.758109986782074,NA,0.324690014123917,NA,0.35547000169754,NA,0.773500025272369,0.863489985466003,0.990700006484985,1.24623000621796,1.43250000476837,2.11189007759094,1.94843995571136,1.85274004936218,1.82871997356415,1.91834998130798,1.9585599899292,1.11304998397827,1.05020999908447,1.07328999042511,1.07904005050659,1.25273001194,NA
Belize,BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.35406970977783,5.83731985092163,11.1186800003052,NA,6.11205005645752,NA,10.7445001602173,10.6168804168701,10.6696996688843,11.0593500137329,12.369119644165,13.5795803070068,13.882399559021,10.8397302627563,9.71529006958008,9.6799201965332,10.8837404251099,11.7490901947021,10.1071796417236,8.71181964874268,10.1873197555542,15.9036598205566,4.73857021331787,6.48648977279663
Benin,BEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.61083984375,NA,NA,NA,NA,NA,NA,48.361930847168,47.8120498657227,47.4787788391113
Bermuda,BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4061889648438,51.079719543457,48.5853004455566,44.821949005127,NA,NA,NA,37.3517417907715,33.8892517089844,NA,24.5670890808105,20.7799892425537,14.8812303543091,11.2429304122925,6.96260976791382,8.83277034759521,NA,8.05189990997314,9.07668018341064,9.75866031646729,9.67504978179932,NA,NA,8.98926162719727,8.06746387481689
Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3910293579102,11.0501203536987,8.99396991729736,7.33086013793945,5.73907995223999,6.61962985992432,7.82152986526489,6.30030012130737,6.03374004364014,4.40982007980347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08117008209229,9.41886043548584,11.7945804595947,11.8789501190186,7.6362099647522,7.41155004501343,7.57928991317749,7.53591012954712
Botswana,BWA,55.0120582580566,56.9427490234375,40.3662185668945,42.2626686096191,43.0741996765137,44.534351348877,42.2458305358887,40.4709587097168,35.8745994567871,33.2192192077637,51.0750198364258,NA,NA,33.541820526123,31.1469802856445,37.0139999389648,NA,NA,13.4921102523804,14.6298799514771,7.51131010055542,14.895299911499,14.4773797988892,13.8407001495361,8.37255001068115,NA,NA,NA,7.26553010940552,9.83341979980469,NA,9.06075000762939,6.95136022567749,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2244920730591,18.17307472229,NA,NA,NA,NA,NA,NA,10.5123481750488,NA
Brazil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33071994781494,1.50551998615265,3.78893995285034,4.24499988555908,3.32914996147156,3.59130001068115,3.15316009521484,2.65546989440918,2.31728005409241,3.73884010314941,NA
British Virgin Islands,VGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28966999053955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0183601379395,NA,5.43131017684937,NA,NA,NA,NA,NA,NA,NA,20.3566093444824,7.68071985244751
Brunei Darussalam,BRN,NA,NA,NA,NA,NA,NA,19.5428104400635,18.5355396270752,13.9276895523071,11.5689697265625,7.67407989501953,7.73358011245728,7.52221012115479,9.16775035858154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9868597984314,0.897719979286194,1.22091996669769,1.26155996322632,NA,0.974749982357025,NA,NA,0.0727802067995071,NA,NA,NA,NA,1.2693498134613,0.376943618059158,0.745795011520386,NA,NA
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76898002624512,6.2297101020813,3.97189998626709,3.24346995353699,NA,NA,NA,NA,2.83570003509521,2.60767006874084,5.7974100112915,5.72299003601074,4.78642988204956,5.71397018432617,7.2973198890686,4.20067977905273,4.78448009490967,6.0344500541687,7.53666019439697,8.65995025634766,8.88247966766357,9.35431957244873,10.1819295883179,10.4759902954102,NA
Burkina Faso,BFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.2015228271484,NA,NA,NA,NA,NA,91.6641235351562,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7033309936523,NA,87.6218719482422,NA,85.3171081542969,84.0933227539062,84.5535125732422,82.0126800537109,80.8508834838867,77.9574813842773,74.0253601074219,59.1518211364746,57.0507583618164,53.8389511108398,49.6861801147461,45.8961181640625,43.0989608764648,48.4293098449707,47.1328887939453,44.0150604248047,45.9411697387695,46.2892112731934,46.3959503173828,50.2800216674805
Burundi,BDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8139801025391,NA,90.5013427734375,90.1669464111328,89.8750991821289,89.4184417724609,87.0939712524414,84.5346221923828,NA,NA,NA,NA,NA,74.7295379638672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1716003417969,28.5688896179199,NA,26.2927474975586,16.0554218292236,22.8650760650635,28.2341003417969,27.8871669769287,30.3603591918945,33.9606285095215,36.3370590209961,30.2048301696777,39.6270294189453,33.8358497619629
Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7426109313965,NA,NA,NA,NA,NA,NA,54.7466087341309,NA,NA,NA,NA,NA,NA,NA,3.22336006164551,4.41715002059937,6.32939004898071,3.7919499874115,5.86591005325317,8.45802021026611,NA,10.2558603286743,NA,NA,13.5998096466064,14.1202297210693,14.9014902114868,15.1986999511719,14.0357599258423,14.4540500640869,15.5217399597168,17.2648296356201,NA,NA,NA
Cambodia,KHM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9631271362305,88.4394073486328,87.2775421142578,85.5165100097656,81.3118591308594,77.443603515625,76.6404571533203,71.4631576538086,36.2034492492676,14.6586198806763,17.9438800811768,NA,8.30296039581299,20.8327808380127,21.0307502746582,NA,16.3284702301025,12.7553300857544,NA,NA,NA,NA,11.0864496231079,12.9328327178955,NA
Cameroon,CMR,65.2968521118164,64.1542205810547,65.0033187866211,54.0604209899902,61.8285102844238,61.1640396118164,60.9157981872559,60.1302680969238,58.9307289123535,58.3730201721191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1656913757324,NA,40.2953681945801,39.2256393432617,40.0770301818848,47.9292068481445,51.7450561523438,NA,51.003345489502,51.0051307678223,49.2695808410645
Canada,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31568002700806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,CSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1138191223145,6.26958990097046,18.978099822998,6.03566980361938,NA,5.700119972229,NA,5.36353015899658,NA,NA,NA,NA,6.05354976654053,6.1111102104187,3.44456005096436,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,87.6695098876953,90.30859375,89.1739730834961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7083969116211,NA,69.3401489257812,69.7073287963867,NA,NA,NA,NA,65.1110687255859,NA,NA,NA,NA,NA
Central Europe and the Baltics,CEB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,TCD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.9562835693359,85.3053207397461,83.3740310668945,80.3360214233398,78.7300796508789,78.2294235229492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.843017578125,68.6618499755859,71.9646377563477,67.537956237793,68.7941131591797,NA,65.3789596557617,NA
Channel Islands,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90796995162964,3.60037994384766,4.88082981109619,3.32773995399475,3.5987401008606,4.00524997711182,3.5204598903656,3.15821003913879,3.49777007102966,3.23942995071411,3.44857001304626,2.88077998161316,2.28648996353149,2.54516005516052,2.23152995109558,NA
China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52950954437256,3.93245005607605,2.87684988975525,2.94664001464844,1.69298994541168,2.58669996261597,0.672720015048981,2.08197999000549,1.3897500038147,2.33470010757446,3.89404010772705,4.28711986541748,3.90050005912781,3.4647901058197,2.87680006027222,1.96314001083374,1.67897999286652,NA
Comoros,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5160293579102,26.9034194946289,NA,NA,25.0524196624756,11.8152198791504,NA,NA,NA,NA
"Congo, Dem. Rep.",COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.042350769043,58.1276702880859,65.5849533081055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.",COG,NA,49.0756416320801,NA,42.6607894897461,NA,36.5303192138672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6607398986816,NA,NA,NA,NA
